#n observed-statistic observed-lower-bound observed-upper-bound Exp-lower-bound Exp-upper-bound Poly-lower-bound Poly-upper-bound 
221109 16.894535 15.751500 18.779156 11.884476 14.448194 9.416334 15.296623
313095 27.808783 26.336187 29.399949 19.861193 22.880645 21.414362 29.850063
405081 42.863508 38.704602 49.795114 32.051051 36.473080 39.348623 49.285393
497067 66.912764 58.919601 76.084865 50.917785 60.391311 61.185178 74.153197
589053 96.199761 84.193112 108.847496 81.249762 99.885481 83.537093 110.000936
681039 135.669113 118.037668 169.680121 125.555433 169.257672 109.005743 154.808539
773025 159.946687 123.911322 222.483372 195.944484 284.485989 137.516616 211.081569
865011 253.007529 229.751112 287.206448 307.393215 476.895280 169.006179 285.771250
956997 354.807489 306.197668 382.579442 475.763942 799.438696 203.999983 375.277588
1048983 435.332060 378.353469 466.037213 736.357594 1340.131168 242.043736 475.986182
1140969 508.982155 442.731016 547.011411 1139.688108 2246.515658 283.081299 586.850566
1232955 566.782461 509.695436 647.560653 1763.937785 3765.924352 327.078403 711.879194
1324941 657.255696 591.037187 755.709842 2730.112288 6312.970119 374.003788 851.621929
1416927 766.844034 711.819412 862.410132 4225.496596 10582.685155 423.828747 1006.608089
1508913 890.492512 815.038574 998.688943 6539.958655 17740.179814 474.128455 1177.348573
1600899 990.085574 895.591272 1092.559559 10122.137891 29738.575347 526.403008 1364.337638
1692885 1102.523152 1008.299149 1235.559279 15666.410277 49851.967282 581.035024 1568.054416
1784871 1243.334942 1105.721057 1382.181503 24247.487401 83568.853344 638.014414 1788.964205
1876857 1521.867743 1314.784462 1604.170987 37528.740461 140089.822531 699.608165 2027.519592
1968843 1813.754581 1645.649300 1926.698448 58084.631092 234838.191400 763.772114 2284.161432
2060829 2165.646495 2012.550453 2334.933841 89899.749570 393668.684446 830.485912 2559.319703
2152815 2533.589199 2349.967182 2638.483642 139141.194852 659922.613904 899.730288 2853.414271
2244801 2785.195337 2627.063253 2841.768269 215354.015973 1106254.760790 971.486950 3166.855558
2336787 3005.048517 2872.962400 3121.082045 333311.441267 1854459.250201 1045.738497 3500.045148
2428773 3220.883499 3032.572363 3370.884426 515878.547133 3108704.461708 1122.468340 3853.376332
2520759 3420.401867 3201.443218 3574.312461 798444.464974 5211246.043395 1201.660634 4227.234588
