#n Exp-observed 95%-lower-bound 95%-upper-bound Poly-observed 95%-lower-bound 95%-upper-bound
221109 3.731870113705501 1.8904071682288208 5.3817517140156035 4.912967685493392 1.8457338773417131 7.955769712083235
313095 6.470327723975725 4.6053684032624 8.900800575988097 3.027976526726878 -0.603963778380173 6.278267618348373
405081 8.270992806054203 5.16872123719174 14.260297205278277 0.4195675788402369 -5.180552318095877 4.484436324934499
497067 10.833629128372358 6.987515416261019 17.413718914601745 1.827656479456195 -5.1419786198046324 4.231691945841945
589053 5.287916458988249 -1.6363459459765721 14.508152535494204 3.4032369924933903 -3.530786662508433 5.045779291264125
681039 -11.711252126830402 -19.39566839390733 5.060534495169378 10.013277379222174 1.5110186287527512 23.400767921352013
773025 -78.97677013795061 -126.53706297130779 -4.089902861734856 -3.7835740897137953 -64.14313920122024 66.47516098394044
865011 -134.31963099047738 -238.61766631250077 -42.919661198051415 45.92837097787347 -26.220093400477822 93.62487147213685
956997 -273.10209597515166 -472.1195443748494 -124.90829932261647 99.05174790527016 6.901648812412361 144.87694335891868
1048983 -582.594094924504 -921.7811209042904 -316.5242111902022 125.52377857076243 -28.013029497584 206.22947971678752
1140969 -1141.2134814757583 -1745.215522990466 -648.7588206540477 139.7011708014249 -85.55043050894074 242.86729007992096
1232955 -2108.4073124171928 -3159.3438213124577 -1221.6073140204671 132.567813974591 -105.29866361526263 277.75189220908703
1324941 -3679.5878648174976 -5580.918671292972 -2104.0056964503046 152.60853024351798 -156.16799483912587 301.700740646255
1416927 -6263.764509120229 -9711.610808173169 -3493.618990261187 186.23009106254278 -156.62236448466422 365.90854150322224
1508913 -10507.072512366165 -16724.95300144494 -5667.524902118499 228.34430893580304 -169.41093358970352 448.78958846167336
1600899 -17486.90510052301 -28676.388891077408 -9086.510266855003 240.80431415131886 -302.15118250306114 534.4606155377153
1692885 -28851.171664003017 -48616.4080029307 -14453.046330041987 260.480420425862 -332.49513776311437 581.1107323075324
1784871 -47315.64573369814 -82282.21930873301 -22939.99570340292 302.8742193093723 -502.33016950067827 640.1158721238277
1876857 -77198.79155439769 -138659.58658009715 -35963.512327946126 477.3057621806679 -597.2836412484694 833.0184165034362
1968843 -125803.0552015612 -233108.66998508046 -56301.60294828653 659.3825594610876 -554.6400167318775 1092.9436637315953
2060829 -204718.4203371567 -391518.24124645535 -87759.91438532188 895.7312467976233 -408.8765039818386 1355.5994511256672
2152815 -332853.396120593 -657400.3569715176 -136739.88503676406 1142.374153966295 -331.15733822971015 1622.4709845226853
2244801 -540922.3585786403 -1103506.2791685464 -212684.29068419983 1266.901475047339 -418.3739358231978 1798.7289012967062
2336787 -878418.2538920861 -1851476.557911679 -330323.6304958967 1353.87522281107 -517.352859318145 1957.1448528232247
2428773 -1425685.212129352 -3105579.6019058237 -512713.5533019387 1431.0093568308093 -728.516529231772 2123.283673336704
2520759 -2313029.168439732 -5207738.9953330895 -795126.7591838025 1485.9853924219565 -720.1865268133747 2237.727963512032
