,Exp parameter a,Exp parameter b,Poly parameter a,Poly parameter b
0,4.954103457947099,1.000004862508863,4.2259092495612445e-10,1.9679315115304234
1,3.850164587621521,1.0000054010520083,2.808818674625365e-14,2.69621635679664
2,3.9947714371346597,1.000005371561881,1.120123274699806e-10,2.070270110551519
3,4.167810107135745,1.0000052520207152,4.618798883960265e-11,2.1409923944357843
4,4.165633157529815,1.0000052899693086,3.958978524101062e-12,2.3274473612507336
5,4.426173676781433,1.0000050969893899,2.02516595909965e-12,2.3756262898102705
6,4.02554274970176,1.0000051216313657,4.781881548037972e-10,1.9544220683687854
7,4.073178639394385,1.0000053229101986,6.511091136396318e-11,2.1106620483532197
8,3.724381451525899,1.0000054459520975,1.3353485976023846e-10,2.0556632269413058
9,4.892927188582564,1.0000048306068583,1.3048228242658105e-09,1.8794131287331766
10,4.201165513597129,1.0000050974309558,1.465273445761028e-09,1.8632131863940913
11,3.8174999300240784,1.000005396894957,4.712438613338343e-12,2.309797234076541
12,4.638203201972954,1.0000050909636622,4.68518302442129e-10,1.9591480217162598
13,3.8551737438943228,1.000005327981955,1.0450130278180183e-11,2.245417857584016
14,4.128970102948542,1.000005169862813,1.7170509496830206e-10,2.0335778431576728
15,4.335903866103722,1.000005188651908,5.974744510961005e-10,1.9467351528869585
16,4.805822602822983,1.0000049721113768,1.9519033559454385e-09,1.8495796054666016
17,3.3693797623725463,1.0000055901582343,2.23892806447053e-12,2.361977797155305
18,3.7136643509350336,1.0000055311859202,6.263327370805475e-10,1.9346295043719692
19,4.075394144936865,1.0000050803035199,1.3435592427139361e-09,1.8749884248537683
20,4.737761158037752,1.0000049562969882,2.4127402671320154e-09,1.8339000756612336
21,3.8009368084426,1.0000054060081658,3.814156346997958e-11,2.154598480649611
22,4.575696326336918,1.0000051040304936,5.238822083263067e-10,1.957528789890148
23,5.056309343193386,1.0000047484953047,3.2913704095983558e-09,1.8087802980276138
24,4.348707481553813,1.0000049998551832,6.500792772116582e-10,1.9312870776480509
25,4.175776680267867,1.0000050790408412,7.414500549377389e-10,1.9195641593662458
26,3.410004140842957,1.0000057334747763,2.505959726691002e-11,2.191002437259158
27,3.7563880769470885,1.0000054453493843,9.926482620679869e-11,2.0789157293016842
28,4.477115403829076,1.00000524044913,4.3206856570741685e-11,2.1456854405760737
29,4.003888625688357,1.000005389669748,9.613457923286107e-11,2.085847914588385
30,5.023060802460567,1.000004726183814,9.631168126789294e-10,1.8971944630528697
31,4.26708723221943,1.0000050607193578,8.846845628757322e-10,1.9073471806411817
32,3.999408442795566,1.0000053210437765,2.613808951076296e-12,2.350449044335619
33,4.3848141407011685,1.0000049153565176,1.4939566501755739e-09,1.8653358858234697
34,4.217011583651498,1.0000051814044768,5.696034463725939e-09,1.7674246500374693
35,4.619149300788203,1.000005003213107,1.526632108390309e-09,1.866332799520933
36,4.7489682211666935,1.0000050220154302,7.021214736059363e-11,2.10273352802119
37,4.672644292830533,1.0000049873656602,6.901003295704166e-11,2.105969650133943
38,4.704493612134739,1.0000048497876164,2.1867942292543733e-09,1.8339321197232152
39,3.897417778549114,1.0000054587004084,8.206381261209441e-13,2.4473208170814473
40,3.8555088140172704,1.0000053004698983,9.7347298390375e-12,2.2528081116111025
41,4.639242673197637,1.0000050517827577,2.5159388845237864e-10,2.011173250463571
42,3.8404636881201464,1.0000053334038714,4.879222831055587e-10,1.953610276041104
43,4.424528906111975,1.0000050080988214,2.1648877501846478e-10,2.015980465433131
44,4.61312083138458,1.0000048855723438,1.7097571788705671e-09,1.8574004899732586
45,4.4161432641831935,1.0000050645898806,6.084771443513945e-10,1.9385688293571093
46,3.7032519323899726,1.0000056162282747,4.78795255122633e-13,2.4909518829792887
47,3.4585071442110604,1.0000055827642829,3.8589208200620773e-10,1.970875850333016
48,3.9347607575732173,1.0000054261499878,1.232941177126421e-11,2.237362227620906
49,3.9555012774271985,1.0000052242233424,1.4587337443314297e-10,2.0484220664433224
50,3.5371683768508455,1.0000055853327408,2.4233372254305173e-12,2.3623696911879506
