algorithm,mu,exponential,base,lb,ub
cachet,1.3,True, 1.336789453800789,1.3006773775681044,1.3766622376228401
d4,1.0,True, 1.398181418612369,1.376963314854758,1.4277851387355507
minic2d,3.1,True, 1.048799870203853,1.0406606929326796,1.0554407637231884
cachet,1.9,True, 1.2844865825849043,1.2509345340873577,1.312572940195115
dpmc,3.4,True, 1.3024218747069225,1.2600982474970326,1.3490517784076812
dpmc,1.3,True, 1.7321885668708135,1.699959075032526,1.7783669938468383
minic2d,1.3,True, 1.100576574939335,1.0913807251602614,1.1075479813509994
minic2d,2.5,True, 1.2039676274310025,1.1846304496105486,1.225177629774902
c2d,1.9,True, 1.3755588860974102,1.3443253987447041,1.4116764517682445
c2d,2.5,True, 1.2418303625209914,1.2115176166209098,1.2692053750956487
cachet,2.2,True, 1.2735457691188128,1.249284080898306,1.307828327706582
minic2d,4.3,False, 0.9995310868725252,0.9940730887895004,0.9999550232489087
dpmc,2.8,True, 1.3576257977424595,1.310940227196323,1.4112324378611132
minic2d,3.4,True, 1.0128701595974399,1.0096818840738901,1.0175270853601714
cachet,4.3,False, 1.0000210010154205,1.0000144065900605,1.0000306921707154
d4,4.0,True, 1.000153109731821,0.9999851874671737,1.0282726357627265
cachet,1.6,True, 1.2961293632772466,1.264568902194653,1.3287910008523025
c2d,4.0,False, 1.0003025842275646,0.999397425176981,1.0060528868507321
minic2d,2.2,True, 1.2721402528143757,1.2563178197191833,1.294304780180823
c2d,3.1,True, 1.0699518110600514,1.0585074271435433,1.0853238231896256
c2d,4.3,True, 0.9999379760993586,0.9937484160246459,0.9999850922559792
cachet,3.4,True, 1.107423427604125,1.000345289899164,1.1543186331066742
d4,3.7,True, 1.021087006345233,1.0000784078564193,1.0486262576943162
cachet,3.7,True, 1.0000194460302188,1.000013160188481,1.0000265617910762
dpmc,1.9,True, 1.604312273485951,1.5705546413621512,1.6484751587350672
c2d,3.4,True, 1.0172574774951593,1.0102721843561056,1.0230751881076714
dpmc,2.2,False, 1.550851054502345,1.500313611121672,1.6004237055617698
cachet,3.1,True, 1.1548955118872934,1.1307469178197613,1.2030900528266586
dpmc,3.7,True, 1.2671391266211556,1.219368236509658,1.3254559853135346
d4,2.5,True, 1.2868267947747272,1.2480481453402987,1.3180791033990498
d4,3.1,True, 1.2277660570613902,1.173726088473421,1.28417772355799
cachet,2.8,True, 1.1891408219810753,1.145144738637655,1.245810995345296
minic2d,1.6,True, 1.2542498100683825,1.2373391692806162,1.2689626546159014
minic2d,1.0,True, 1.0117249384311529,1.0000893362366796,1.017347791464432
c2d,1.3,True, 1.3425189141322402,1.3193168002933475,1.364903918126398
minic2d,4.0,False, 1.0000020733544268,0.9999705478629174,1.0000404157807288
c2d,3.7,False, 0.9999953428177779,0.9964247061878027,1.0001292813058607
d4,4.3,False, 1.0000053759305891,0.9999984081699318,1.0000114399040654
c2d,2.2,True, 1.33601507299821,1.3054680789748152,1.3658093436558516
d4,2.8,True, 1.246095996792143,1.1908989746868452,1.3014285140278918
c2d,2.8,True, 1.162299072606379,1.1273205221048557,1.190436636488157
dpmc,4.0,True, 1.3159460241326575,1.2432302249918197,1.4254766820669293
minic2d,3.7,True, 0.9999939918539139,0.9999466554023713,1.0000315920653204
dpmc,2.5,True, 1.4179153273798928,1.386249165873193,1.466369069353162
d4,2.2,False, 1.3506028408841553,1.3115770370766429,1.3897866776325365
cachet,4.0,False, 1.0000120659737401,1.0000047553257705,1.0000200706079754
d4,1.6,False, 1.4567796395813,1.4052689483561371,1.5106259775896254
c2d,1.6,True, 1.4282325958909183,1.3882411059938564,1.4587007581091238
d4,1.3,True, 1.4770994520116782,1.4449149956879281,1.5170951308760716
d4,3.4,True, 1.1174422311633836,1.081992394982416,1.1435744316365604
cachet,1.0,True, 1.3093352189354721,1.2860522431397228,1.3426508538439719
dpmc,4.3,False, 1.331851959817444,1.2692745378146206,1.383529539044833
d4,1.9,False, 1.3789986198834938,1.3368534513117702,1.4203456277669084
minic2d,1.9,True, 1.309472558693525,1.289103890833881,1.3328289919534269
cachet,2.5,True, 1.2088676924764237,1.1846856592665485,1.2500517176500583
c2d,1.0,True, 1.1156118270220412,1.109362632409928,1.122611423365482
dpmc,1.0,True, 1.1181681770886758,1.1181203812653706,1.1361011860370005
dpmc,1.6,True, 1.7071561635764432,1.6735102518458596,1.7370109055115979
dpmc,3.1,True, 1.3293242405676926,1.2850213161320019,1.3794835282744635
minic2d,2.8,True, 1.1123662554097968,1.0971253390077933,1.1293304212094342
