literal_factor,algorithm,clause_factor,prop_equal,treewidth,prop_deterministic,num_variables,answer,instance,time,sat,repetitiveness
3,d4,2.2,0,34,0.46,70,0.0,70-2.2-3-0-0.46-0-97,83.42,,0
3,cachet,2.2,0,35,0.88,70,0,70-2.2-3-0-0.88-0-18,6.66,,0
3,d4,2.2,0,37,0.53,70,,70-2.2-3-0-0.53-0-79,453.83,,0
3,minic2d,2.2,0,34,0.16,70,0.0,70-2.2-3-0-0.16-0-50,5.02,,0
3,d4,2.2,0,33,0.26,70,,70-2.2-3-0-0.26-0-87,181.19,,0
3,cachet,2.2,0,36,0.0,70,7.46391e-13,70-2.2-3-0-0.0-0-66,4.42,,0
3,c2d,2.2,0,36,0.93,70,0.0,70-2.2-3-0-0.93-0-32,71.32,,0
3,cachet,2.2,0,37,0.85,70,0,70-2.2-3-0-0.85-0-80,9.58,,0
3,d4,2.2,0,35,0.81,70,0.0,70-2.2-3-0-0.81-0-85,110.06,,0
3,c2d,2.2,0,33,0.75,70,0.0,70-2.2-3-0-0.75-0-62,7.16,,0
3,d4,2.2,0,37,0.14,70,,70-2.2-3-0-0.14-0-43,352.31,,0
3,minic2d,2.2,0,36,0.61,70,0.0,70-2.2-3-0-0.61-0-40,15.19,,0
3,c2d,2.2,0,32,0.24,70,5.063723e-15,70-2.2-3-0-0.24-0-27,23.07,,0
3,dpmc,2.2,0,36,0.24,70,0,70-2.2-3-0-0.24-0-68,26.24,,0
3,c2d,2.2,0,35,0.88,70,0.0,70-2.2-3-0-0.88-0-33,20.95,,0
3,minic2d,2.2,0,37,0.21,70,0.0,70-2.2-3-0-0.21-0-40,16.54,,0
3,dpmc,2.2,0,36,0.47,70,0,70-2.2-3-0-0.47-0-19,0.6,,0
3,c2d,2.2,0,36,0.76,70,0.0,70-2.2-3-0-0.76-0-50,57.73,,0
3,c2d,2.2,0,38,0.15,70,,70-2.2-3-0-0.15-0-19,121.25,,0
3,dpmc,2.2,0,37,0.3,70,0,70-2.2-3-0-0.3-0-55,5.64,,0
3,c2d,2.2,0,37,0.91,70,0.0,70-2.2-3-0-0.91-0-40,44.15,,0
3,minic2d,2.2,0,35,0.84,70,0.0,70-2.2-3-0-0.84-0-19,4.55,,0
3,minic2d,2.2,0,35,0.13,70,0.0,70-2.2-3-0-0.13-0-39,9.63,,0
3,d4,2.2,0,35,0.54,70,,70-2.2-3-0-0.54-0-93,216.12,,0
3,dpmc,2.2,0,34,0.82,70,0,70-2.2-3-0-0.82-0-64,0.04,,0
3,d4,2.2,0,36,0.04,70,3.408731e-14,70-2.2-3-0-0.04-0-61,37.65,,0
3,d4,2.2,0,35,0.15,70,,70-2.2-3-0-0.15-0-31,233.84,,0
3,dpmc,2.2,0,35,0.75,70,0,70-2.2-3-0-0.75-0-98,0.06,,0
3,dpmc,2.2,0,35,0.59,70,0,70-2.2-3-0-0.59-0-43,0.12,,0
3,minic2d,2.2,0,37,0.62,70,0.0,70-2.2-3-0-0.62-0-74,32.0,,0
3,cachet,2.2,0,33,0.24,70,0,70-2.2-3-0-0.24-0-98,2.06,,0
3,cachet,2.2,0,37,0.19,70,1.17162e-12,70-2.2-3-0-0.19-0-100,9.6,,0
3,minic2d,2.2,0,37,0.9,70,0.0,70-2.2-3-0-0.9-0-40,4.61,,0
3,d4,2.2,0,34,0.18,70,1.437068e-16,70-2.2-3-0-0.18-0-9,140.53,,0
3,d4,2.2,0,35,0.72,70,0.0,70-2.2-3-0-0.72-0-18,93.91,,0
3,cachet,2.2,0,34,0.17,70,6.96989e-16,70-2.2-3-0-0.17-0-39,6.54,,0
3,c2d,2.2,0,36,0.26,70,0.0,70-2.2-3-0-0.26-0-98,42.46,,0
3,dpmc,2.2,0,35,0.58,70,0,70-2.2-3-0-0.58-0-45,0.36,,0
3,minic2d,2.2,0,35,0.96,70,0.0,70-2.2-3-0-0.96-0-24,28.89,,0
3,c2d,2.2,0,35,0.28,70,8.319897e-11,70-2.2-3-0-0.28-0-83,50.63,,0
3,cachet,2.2,0,35,0.31,70,4.44039e-12,70-2.2-3-0-0.31-0-36,3.91,,0
3,cachet,2.2,0,35,0.2,70,1.8413e-15,70-2.2-3-0-0.2-0-83,7.63,,0
3,c2d,2.2,0,38,0.51,70,,70-2.2-3-0-0.51-0-57,368.02,,0
3,minic2d,2.2,0,37,0.22,70,0.0,70-2.2-3-0-0.22-0-84,32.76,,0
3,c2d,2.2,0,37,0.06,70,3.879173e-11,70-2.2-3-0-0.06-0-33,81.67,,0
3,d4,2.2,0,36,0.88,70,0.0,70-2.2-3-0-0.88-0-28,66.04,,0
3,c2d,2.2,0,34,0.3,70,0.0,70-2.2-3-0-0.3-0-45,33.85,,0
3,c2d,2.2,0,36,0.28,70,0.0,70-2.2-3-0-0.28-0-85,59.66,,0
3,minic2d,2.2,0,37,0.59,70,0.0,70-2.2-3-0-0.59-0-17,51.59,,0
3,minic2d,2.2,0,36,0.76,70,0.0,70-2.2-3-0-0.76-0-33,10.0,,0
3,d4,2.2,0,35,0.12,70,3.298891e-14,70-2.2-3-0-0.12-0-66,123.14,,0
3,d4,2.2,0,34,0.03,70,6.241757e-12,70-2.2-3-0-0.03-0-96,70.45,,0
3,c2d,2.2,0,36,0.18,70,,70-2.2-3-0-0.18-0-43,114.96000000000001,,0
3,minic2d,2.2,0,36,0.71,70,0.0,70-2.2-3-0-0.71-0-41,6.56,,0
3,dpmc,2.2,0,36,0.09,70,0,70-2.2-3-0-0.09-0-86,118.53,,0
3,minic2d,2.2,0,36,0.62,70,0.0,70-2.2-3-0-0.62-0-40,3.63,,0
3,minic2d,2.2,0,34,0.05,70,0.0,70-2.2-3-0-0.05-0-5,3.73,,0
3,dpmc,2.2,0,36,0.52,70,0,70-2.2-3-0-0.52-0-5,1.53,,0
3,d4,2.2,0,36,0.07,70,,70-2.2-3-0-0.07-0-85,645.01,,0
3,dpmc,2.2,0,34,0.35,70,0,70-2.2-3-0-0.35-0-80,28.17,,0
3,c2d,2.2,0,34,0.03,70,9.02035e-12,70-2.2-3-0-0.03-0-44,44.67,,0
3,cachet,2.2,0,36,0.81,70,0,70-2.2-3-0-0.81-0-20,3.82,,0
3,cachet,2.2,0,36,0.57,70,0,70-2.2-3-0-0.57-0-51,6.91,,0
3,minic2d,2.2,0,36,0.6,70,0.0,70-2.2-3-0-0.6-0-8,10.35,,0
3,dpmc,2.2,0,34,0.19,70,0,70-2.2-3-0-0.19-0-80,30.52,,0
3,d4,2.2,0,34,0.83,70,0.0,70-2.2-3-0-0.83-0-82,108.5,,0
3,dpmc,2.2,0,36,0.03,70,0,70-2.2-3-0-0.03-0-74,250.32,,0
3,c2d,2.2,0,36,0.46,70,0.0,70-2.2-3-0-0.46-0-25,74.33,,0
3,dpmc,2.2,0,35,0.8,70,0,70-2.2-3-0-0.8-0-12,0.07,,0
3,d4,2.2,0,36,0.51,70,,70-2.2-3-0-0.51-0-33,200.38,,0
3,d4,2.2,0,35,0.77,70,0.0,70-2.2-3-0-0.77-0-94,54.29,,0
3,minic2d,2.2,0,35,0.95,70,0.0,70-2.2-3-0-0.95-0-19,24.77,,0
3,d4,2.2,0,38,0.89,70,,70-2.2-3-0-0.89-0-60,206.41,,0
3,c2d,2.2,0,37,1.0,70,0.0,70-2.2-3-0-1.0-0-24,58.15,1,0
3,dpmc,2.2,0,35,0.24,70,0,70-2.2-3-0-0.24-0-78,0.67,,0
3,dpmc,2.2,0,36,0.85,70,0,70-2.2-3-0-0.85-0-37,0.1,,0
3,dpmc,2.2,0,36,0.22,70,0,70-2.2-3-0-0.22-0-83,0.18,,0
3,c2d,2.2,0,34,0.29,70,0.0,70-2.2-3-0-0.29-0-35,14.29,,0
3,dpmc,2.2,0,36,0.34,70,0,70-2.2-3-0-0.34-0-40,0.97,,0
3,minic2d,2.2,0,36,0.81,70,0.0,70-2.2-3-0-0.81-0-74,9.36,,0
3,c2d,2.2,0,36,0.54,70,0.0,70-2.2-3-0-0.54-0-78,34.79,,0
3,minic2d,2.2,0,37,0.54,70,0.0,70-2.2-3-0-0.54-0-98,9.36,,0
3,minic2d,2.2,0,34,0.91,70,0.0,70-2.2-3-0-0.91-0-54,9.13,,0
3,minic2d,2.2,0,35,1.0,70,0.0,70-2.2-3-0-1.0-0-8,1.08,1,0
3,dpmc,2.2,0,35,0.45,70,0,70-2.2-3-0-0.45-0-28,0.07,,0
3,minic2d,2.2,0,37,0.3,70,0.0,70-2.2-3-0-0.3-0-68,29.66,,0
3,d4,2.2,0,36,0.31,70,0.0,70-2.2-3-0-0.31-0-53,81.68,,0
3,d4,2.2,0,35,0.76,70,0.0,70-2.2-3-0-0.76-0-79,114.14,,0
3,cachet,2.2,0,36,0.18,70,5.39488e-09,70-2.2-3-0-0.18-0-75,13.82,,0
3,cachet,2.2,0,35,0.48,70,0,70-2.2-3-0-0.48-0-7,10.35,,0
3,d4,2.2,0,35,0.36,70,,70-2.2-3-0-0.36-0-43,145.56,,0
3,d4,2.2,0,34,0.39,70,0.0,70-2.2-3-0-0.39-0-96,94.35,,0
3,minic2d,2.2,0,36,0.92,70,0.0,70-2.2-3-0-0.92-0-48,3.63,,0
3,cachet,2.2,0,35,0.15,70,1.03484e-16,70-2.2-3-0-0.15-0-22,2.65,,0
3,c2d,2.2,0,35,0.07,70,6.038515e-13,70-2.2-3-0-0.07-0-80,78.31,,0
3,minic2d,2.2,0,37,0.54,70,0.0,70-2.2-3-0-0.54-0-92,27.13,,0
3,cachet,2.2,0,36,0.07,70,1.57633e-10,70-2.2-3-0-0.07-0-64,4.04,,0
3,cachet,2.2,0,35,0.29,70,0,70-2.2-3-0-0.29-0-6,3.39,,0
3,c2d,2.2,0,38,0.29,70,,70-2.2-3-0-0.29-0-86,81.65,,0
3,c2d,2.2,0,35,0.46,70,0.0,70-2.2-3-0-0.46-0-10,52.2,,0
3,dpmc,2.2,0,35,0.12,70,0,70-2.2-3-0-0.12-0-67,10.9,,0
3,c2d,2.2,0,36,0.37,70,0.0,70-2.2-3-0-0.37-0-89,50.71,,0
3,minic2d,2.2,0,37,0.31,70,0.0,70-2.2-3-0-0.31-0-77,30.01,,0
3,d4,2.2,0,37,0.99,70,,70-2.2-3-0-0.99-0-65,235.13,,0
3,d4,2.2,0,36,0.23,70,,70-2.2-3-0-0.23-0-99,152.84,,0
3,c2d,2.2,0,37,0.91,70,0.0,70-2.2-3-0-0.91-0-31,53.6,,0
3,cachet,2.2,0,38,0.65,70,0,70-2.2-3-0-0.65-0-43,4.33,,0
3,cachet,2.2,0,36,0.07,70,1.15981e-09,70-2.2-3-0-0.07-0-43,15.08,,0
3,dpmc,2.2,0,34,0.99,70,0,70-2.2-3-0-0.99-0-72,0.04,,0
3,minic2d,2.2,0,33,0.15,70,0.0,70-2.2-3-0-0.15-0-83,2.86,,0
3,c2d,2.2,0,37,0.71,70,0.0,70-2.2-3-0-0.71-0-62,58.83,,0
3,c2d,2.2,0,39,0.25,70,,70-2.2-3-0-0.25-0-73,309.34,,0
3,c2d,2.2,0,35,0.3,70,0.0,70-2.2-3-0-0.3-0-83,48.15,,0
3,minic2d,2.2,0,37,0.69,70,0.0,70-2.2-3-0-0.69-0-13,13.75,,0
3,d4,2.2,0,36,0.61,70,0.0,70-2.2-3-0-0.61-0-1,23.8,,0
3,minic2d,2.2,0,35,0.67,70,0.0,70-2.2-3-0-0.67-0-52,4.95,,0
3,c2d,2.2,0,35,0.39,70,0.0,70-2.2-3-0-0.39-0-75,6.66,,0
3,c2d,2.2,0,36,0.04,70,1.316555e-12,70-2.2-3-0-0.04-0-43,59.55,,0
3,cachet,2.2,0,34,0.41,70,0,70-2.2-3-0-0.41-0-11,6.37,,0
3,minic2d,2.2,0,37,0.76,70,0.0,70-2.2-3-0-0.76-0-5,21.21,,0
3,dpmc,2.2,0,34,0.43,70,0,70-2.2-3-0-0.43-0-2,0.24,,0
3,cachet,2.2,0,35,0.44,70,0,70-2.2-3-0-0.44-0-4,8.69,,0
3,dpmc,2.2,0,37,0.18,70,4.87713e-12,70-2.2-3-0-0.18-0-35,22.84,,0
3,cachet,2.2,0,35,0.64,70,0,70-2.2-3-0-0.64-0-2,6.6,,0
3,d4,2.2,0,38,0.7,70,,70-2.2-3-0-0.7-0-88,287.03,,0
3,cachet,2.2,0,35,0.38,70,0,70-2.2-3-0-0.38-0-4,3.59,,0
3,d4,2.2,0,37,0.08,70,,70-2.2-3-0-0.08-0-29,310.52,,0
3,dpmc,2.2,0,38,0.58,70,0,70-2.2-3-0-0.58-0-67,0.1,,0
3,c2d,2.2,0,36,0.69,70,0.0,70-2.2-3-0-0.69-0-55,43.33,,0
3,minic2d,2.2,0,35,0.56,70,0.0,70-2.2-3-0-0.56-0-94,6.6,,0
3,d4,2.2,0,36,0.0,70,8.350402e-11,70-2.2-3-0-0.0-0-71,66.73,,0
3,minic2d,2.2,0,37,0.21,70,0.0,70-2.2-3-0-0.21-0-48,18.67,,0
3,cachet,2.2,0,37,0.12,70,6.82563e-13,70-2.2-3-0-0.12-0-34,12.24,,0
3,c2d,2.2,0,37,0.82,70,0.0,70-2.2-3-0-0.82-0-25,69.07,,0
3,d4,2.2,0,34,0.98,70,0.0,70-2.2-3-0-0.98-0-66,81.67,,0
3,d4,2.2,0,33,0.1,70,8.75394e-13,70-2.2-3-0-0.1-0-21,25.16,,0
3,c2d,2.2,0,37,0.09,70,2.956244e-13,70-2.2-3-0-0.09-0-84,36.75,,0
3,minic2d,2.2,0,38,0.5,70,0.0,70-2.2-3-0-0.5-0-80,17.31,,0
3,c2d,2.2,0,37,0.25,70,6.041571e-12,70-2.2-3-0-0.25-0-92,6.69,,0
3,cachet,2.2,0,36,0.42,70,0,70-2.2-3-0-0.42-0-56,8.67,,0
3,c2d,2.2,0,35,0.72,70,0.0,70-2.2-3-0-0.72-0-73,32.15,,0
3,minic2d,2.2,0,34,0.94,70,0.0,70-2.2-3-0-0.94-0-17,8.35,,0
3,d4,2.2,0,36,0.96,70,0.0,70-2.2-3-0-0.96-0-71,122.75,,0
3,cachet,2.2,0,34,0.73,70,0,70-2.2-3-0-0.73-0-87,6.92,,0
3,dpmc,2.2,0,35,0.26,70,0,70-2.2-3-0-0.26-0-26,24.1,,0
3,d4,2.2,0,37,0.95,70,,70-2.2-3-0-0.95-0-1,133.13,,0
3,d4,2.2,0,36,0.86,70,,70-2.2-3-0-0.86-0-38,143.94,,0
3,dpmc,2.2,0,35,0.64,70,0,70-2.2-3-0-0.64-0-30,0.13,,0
3,d4,2.2,0,36,0.62,70,0.0,70-2.2-3-0-0.62-0-29,93.82,,0
3,minic2d,2.2,0,38,0.63,70,0.0,70-2.2-3-0-0.63-0-79,23.48,,0
3,cachet,2.2,0,36,0.2,70,2.01742e-20,70-2.2-3-0-0.2-0-84,6.44,,0
3,d4,2.2,0,35,0.49,70,0.0,70-2.2-3-0-0.49-0-65,89.64,,0
3,c2d,2.2,0,33,0.36,70,0.0,70-2.2-3-0-0.36-0-54,28.3,,0
3,minic2d,2.2,0,38,0.92,70,0.0,70-2.2-3-0-0.92-0-50,18.55,,0
3,c2d,2.2,0,33,0.21,70,1.140846e-10,70-2.2-3-0-0.21-0-67,58.32,,0
3,c2d,2.2,0,37,0.38,70,0.0,70-2.2-3-0-0.38-0-65,40.42,,0
3,cachet,2.2,0,37,0.36,70,0,70-2.2-3-0-0.36-0-22,10.7,,0
3,c2d,2.2,0,33,0.7,70,0.0,70-2.2-3-0-0.7-0-44,33.86,,0
3,dpmc,2.2,0,35,0.9,70,0,70-2.2-3-0-0.9-0-52,0.06,,0
3,d4,2.2,0,37,0.16,70,7.810714e-19,70-2.2-3-0-0.16-0-73,61.59,,0
3,cachet,2.2,0,35,0.79,70,0,70-2.2-3-0-0.79-0-21,12.05,,0
3,d4,2.2,0,36,0.27,70,,70-2.2-3-0-0.27-0-6,394.57,,0
3,c2d,2.2,0,37,0.9,70,,70-2.2-3-0-0.9-0-1,355.88,,0
3,d4,2.2,0,36,0.74,70,0.0,70-2.2-3-0-0.74-0-92,95.4,,0
3,d4,2.2,0,37,0.62,70,,70-2.2-3-0-0.62-0-46,574.41,,0
3,minic2d,2.2,0,38,1.0,70,0.0,70-2.2-3-0-1.0-0-77,7.54,1,0
3,cachet,2.2,0,36,0.08,70,2.78511e-11,70-2.2-3-0-0.08-0-51,11.73,,0
3,c2d,2.2,0,35,0.31,70,0.0,70-2.2-3-0-0.31-0-93,41.4,,0
3,cachet,2.2,0,34,0.95,70,0,70-2.2-3-0-0.95-0-6,5.92,,0
3,minic2d,2.2,0,34,0.1,70,0.0,70-2.2-3-0-0.1-0-7,20.27,,0
3,dpmc,2.2,0,35,0.25,70,1.24319e-08,70-2.2-3-0-0.25-0-88,2.63,,0
3,minic2d,2.2,0,36,0.99,70,0.0,70-2.2-3-0-0.99-0-10,8.43,,0
3,cachet,2.2,0,36,0.39,70,0,70-2.2-3-0-0.39-0-87,4.87,,0
3,dpmc,2.2,0,35,0.99,70,0,70-2.2-3-0-0.99-0-79,0.04,,0
