prop_equal,clause_factor,repetitiveness,sat,algorithm,treewidth,num_variables,prop_deterministic,answer,instance,time,literal_factor
0.83,2.2,0,,cachet,37,70,0,6.08564e-10,70-2.2-3-0-0-0.83-35,6.21,3
0.92,2.2,0,,dpmc,35,70,0,3.29045e-09,70-2.2-3-0-0-0.92-61,278.04,3
1.0,2.2,0,1,cachet,35,70,0,4.55633e-09,70-2.2-3-0-0-1.0-78,14.03,3
0.87,2.2,0,,minic2d,34,70,0,0.0,70-2.2-3-0-0-0.87-94,19.41,3
0.49,2.2,0,,c2d,36,70,0,1.158383e-09,70-2.2-3-0-0-0.49-65,100.88,3
0.39,2.2,0,,cachet,35,70,0,1.02614e-11,70-2.2-3-0-0-0.39-96,5.18,3
0.54,2.2,0,,dpmc,31,70,0,2.58776e-10,70-2.2-3-0-0-0.54-97,61.37,3
0.21,2.2,0,,c2d,37,70,0,,70-2.2-3-0-0-0.21-38,264.43,3
0.94,2.2,0,,minic2d,36,70,0,0.0,70-2.2-3-0-0-0.94-46,16.25,3
0.1,2.2,0,,c2d,34,70,0,1.341235e-12,70-2.2-3-0-0-0.1-84,24.61,3
0.51,2.2,0,,dpmc,35,70,0,2.56868e-08,70-2.2-3-0-0-0.51-4,487.44,3
0.25,2.2,0,,c2d,34,70,0,2.701958e-13,70-2.2-3-0-0-0.25-14,59.1,3
0.27,2.2,0,,cachet,35,70,0,1.50001e-12,70-2.2-3-0-0-0.27-7,10.19,3
0.65,2.2,0,,d4,34,70,0,1.189418e-11,70-2.2-3-0-0-0.65-93,128.84,3
0.85,2.2,0,,minic2d,37,70,0,0.0,70-2.2-3-0-0-0.85-17,97.66,3
0.82,2.2,0,,cachet,34,70,0,1.05014e-09,70-2.2-3-0-0-0.82-82,4.51,3
0.53,2.2,0,,cachet,37,70,0,2.02161e-09,70-2.2-3-0-0-0.53-22,10.98,3
0.15,2.2,0,,c2d,34,70,0,3.761003e-11,70-2.2-3-0-0-0.15-67,57.02,3
0.02,2.2,0,,cachet,35,70,0,3.25792e-09,70-2.2-3-0-0-0.02-96,11.04,3
0.01,2.2,0,,dpmc,36,70,0,2.88454e-10,70-2.2-3-0-0-0.01-56,350.02,3
0.12,2.2,0,,cachet,36,70,0,2.52492e-11,70-2.2-3-0-0-0.12-84,7.55,3
0.04,2.2,0,,d4,36,70,0,3.608118e-11,70-2.2-3-0-0-0.04-68,98.31,3
0.86,2.2,0,,c2d,37,70,0,2.695553e-10,70-2.2-3-0-0-0.86-9,79.18,3
0.03,2.2,0,,dpmc,33,70,0,0,70-2.2-3-0-0-0.03-81,69.4,3
0.24,2.2,0,,c2d,36,70,0,1.842917e-08,70-2.2-3-0-0-0.24-82,88.48,3
0.43,2.2,0,,cachet,36,70,0,6.40006e-12,70-2.2-3-0-0-0.43-74,4.58,3
0.34,2.2,0,,dpmc,33,70,0,0,70-2.2-3-0-0-0.34-67,76.98,3
0.73,2.2,0,,cachet,35,70,0,4.85896e-10,70-2.2-3-0-0-0.73-73,5.27,3
0.3,2.2,0,,c2d,35,70,0,9.213288e-12,70-2.2-3-0-0-0.3-87,76.75,3
0.7,2.2,0,,cachet,34,70,0,5.71904e-10,70-2.2-3-0-0-0.7-76,1.99,3
0.84,2.2,0,,cachet,37,70,0,9.7426e-11,70-2.2-3-0-0-0.84-10,6.06,3
0.11,2.2,0,,d4,34,70,0,2.603827e-11,70-2.2-3-0-0-0.11-36,102.06,3
0.14,2.2,0,,dpmc,36,70,0,6.79073e-08,70-2.2-3-0-0-0.14-48,292.08,3
0.48,2.2,0,,dpmc,35,70,0,5.88347e-12,70-2.2-3-0-0-0.48-62,281.29,3
0.64,2.2,0,,d4,37,70,0,5.462043e-10,70-2.2-3-0-0-0.64-64,133.31,3
0.84,2.2,0,,dpmc,36,70,0,4.70736e-10,70-2.2-3-0-0-0.84-87,141.43,3
0.72,2.2,0,,c2d,35,70,0,2.672968e-10,70-2.2-3-0-0-0.72-12,45.41,3
0.06,2.2,0,,c2d,39,70,0,1.186411e-11,70-2.2-3-0-0-0.06-43,58.65,3
0.88,2.2,0,,minic2d,38,70,0,0.0,70-2.2-3-0-0-0.88-14,15.0,3
0.78,2.2,0,,cachet,36,70,0,8.63253e-10,70-2.2-3-0-0-0.78-90,8.13,3
0.17,2.2,0,,cachet,38,70,0,6.97218e-13,70-2.2-3-0-0-0.17-24,6.55,3
0.05,2.2,0,,dpmc,36,70,0,7.86764e-12,70-2.2-3-0-0-0.05-74,261.5,3
0.48,2.2,0,,d4,37,70,0,,70-2.2-3-0-0-0.48-12,301.05,3
0.47,2.2,0,,cachet,36,70,0,4.01108e-10,70-2.2-3-0-0-0.47-51,24.42,3
