repetitiveness,sat,prop_equal,prop_deterministic,treewidth,literal_factor,clause_factor,instance
0.26,1,0,0,88,5,7.0710678118654755,100-7.0710678118654755-5-0.26-0-0-9
0.15,1,0,0,78,5,2.5,100-2.5-5-0.15-0-0-7
0.13,1,0,0,68,4,2.5,100-2.5-4-0.13-0-0-10
0.52,0,0,0,88,4,10.0,100-10.0-4-0.52-0-0-7
0.16,1,0,0,76,4,3.5355339059327378,100-3.5355339059327378-4-0.16-0-0-2
0.78,0,0,0,14,2,5.0,100-5.0-2-0.78-0-0-7
0.08,1,0,0,15,4,0.4419417382415922,100-0.4419417382415922-4-0.08-0-0-1
0.12,0,0,0,77,3,7.0710678118654755,100-7.0710678118654755-3-0.12-0-0-1
0.41,0,0,0,61,2,14.142135623730951,100-14.142135623730951-2-0.41-0-0-1
0.37,1,0,0,47,3,2.5,100-2.5-3-0.37-0-0-6
0.57,0,0,0,1,1,1.25,100-1.25-1-0.57-0-0-2
0.51,0,0,0,1,1,14.142135623730951,100-14.142135623730951-1-0.51-0-0-9
0.48,0,0,0,76,3,10.0,100-10.0-3-0.48-0-0-5
0.45,1,0,0,8,4,0.4419417382415922,100-0.4419417382415922-4-0.45-0-0-6
0.23,1,0,0,13,4,0.4419417382415922,100-0.4419417382415922-4-0.23-0-0-6
0.29,0,0,0,1,1,0.8838834764831844,100-0.8838834764831844-1-0.29-0-0-10
0.14,1,0,0,17,3,0.8838834764831844,100-0.8838834764831844-3-0.14-0-0-10
0.91,1,0,0,61,4,5.0,100-5.0-4-0.91-0-0-2
0.61,1,0,0,2,2,0.4419417382415922,100-0.4419417382415922-2-0.61-0-0-9
0.11,1,0,0,82,4,5.0,100-5.0-4-0.11-0-0-7
0.02,1,0,0,76,5,2.5,100-2.5-5-0.02-0-0-9
0.42,0,0,0,1,1,0.625,100-0.625-1-0.42-0-0-5
0.22,0,0,0,48,2,7.0710678118654755,100-7.0710678118654755-2-0.22-0-0-1
0.14,0,0,0,7,2,1.25,100-1.25-2-0.14-0-0-7
0.16,1,0,0,84,5,3.5355339059327378,100-3.5355339059327378-5-0.16-0-0-9
0.89,0,0,0,73,3,14.142135623730951,100-14.142135623730951-3-0.89-0-0-1
0.37,0,0,0,1,1,0.4419417382415922,100-0.4419417382415922-1-0.37-0-0-5
0.59,0,0,0,37,2,7.0710678118654755,100-7.0710678118654755-2-0.59-0-0-1
0.63,1,0,0,28,4,1.25,100-1.25-4-0.63-0-0-9
0.02,1,0,0,81,4,5.0,100-5.0-4-0.02-0-0-3
0.33,0,0,0,37,2,5.0,100-5.0-2-0.33-0-0-6
0.2,1,0,0,25,3,1.25,100-1.25-3-0.2-0-0-9
0.95,0,0,0,2,2,0.8838834764831844,100-0.8838834764831844-2-0.95-0-0-4
0.4,1,0,0,30,3,1.7677669529663689,100-1.7677669529663689-3-0.4-0-0-2
1.0,0,0,0,2,2,2.5,100-2.5-2-1.0-0-0-3
0.88,1,0,0,7,4,0.4419417382415922,100-0.4419417382415922-4-0.88-0-0-7
0.02,1,0,0,94,5,10.0,100-10.0-5-0.02-0-0-10
0.53,0,0,0,57,2,14.142135623730951,100-14.142135623730951-2-0.53-0-0-3
0.52,1,0,0,29,3,1.7677669529663689,100-1.7677669529663689-3-0.52-0-0-8
0.54,1,0,0,43,3,2.5,100-2.5-3-0.54-0-0-4
0.4,0,0,0,92,4,14.142135623730951,100-14.142135623730951-4-0.4-0-0-1
0.16,1,0,0,53,3,2.5,100-2.5-3-0.16-0-0-8
0.1,0,0,0,91,4,10.0,100-10.0-4-0.1-0-0-2
0.89,1,0,0,88,5,10.0,100-10.0-5-0.89-0-0-4
0.02,0,0,0,1,1,2.5,100-2.5-1-0.02-0-0-10
0.3,1,0,0,95,5,14.142135623730951,100-14.142135623730951-5-0.3-0-0-3
0.28,0,0,0,86,3,14.142135623730951,100-14.142135623730951-3-0.28-0-0-9
0.17,0,0,0,82,3,10.0,100-10.0-3-0.17-0-0-4
0.1,0,0,0,4,2,0.8838834764831844,100-0.8838834764831844-2-0.1-0-0-7
0.6,0,0,0,3,2,1.25,100-1.25-2-0.6-0-0-1
0.74,1,0,0,2,2,0.8838834764831844,100-0.8838834764831844-2-0.74-0-0-3
0.91,1,0,0,61,4,5.0,100-5.0-4-0.91-0-0-10
0.82,1,0,0,4,3,0.625,100-0.625-3-0.82-0-0-3
0.21,1,0,0,56,4,1.7677669529663689,100-1.7677669529663689-4-0.21-0-0-2
0.06,0,0,0,56,2,7.0710678118654755,100-7.0710678118654755-2-0.06-0-0-3
0.21,1,0,0,25,5,0.4419417382415922,100-0.4419417382415922-5-0.21-0-0-3
0.46,0,0,0,90,4,14.142135623730951,100-14.142135623730951-4-0.46-0-0-7
0.63,1,0,0,13,3,1.25,100-1.25-3-0.63-0-0-9
0.72,1,0,0,47,5,1.25,100-1.25-5-0.72-0-0-5
0.82,1,0,0,14,5,0.625,100-0.625-5-0.82-0-0-3
0.25,0,0,0,59,2,10.0,100-10.0-2-0.25-0-0-8
0.99,0,0,0,15,3,10.0,100-10.0-3-0.99-0-0-7
0.71,1,0,0,3,2,0.625,100-0.625-2-0.71-0-0-7
0.18,0,0,0,70,2,14.142135623730951,100-14.142135623730951-2-0.18-0-0-6
0.84,1,0,0,89,5,10.0,100-10.0-5-0.84-0-0-1
0.61,1,0,0,94,5,14.142135623730951,100-14.142135623730951-5-0.61-0-0-1
0.96,0,0,0,1,1,14.142135623730951,100-14.142135623730951-1-0.96-0-0-8
0.33,0,0,0,39,2,5.0,100-5.0-2-0.33-0-0-9
0.39,1,0,0,62,4,2.5,100-2.5-4-0.39-0-0-1
0.56,1,0,0,77,5,3.5355339059327378,100-3.5355339059327378-5-0.56-0-0-6
0.04,1,0,0,26,5,0.4419417382415922,100-0.4419417382415922-5-0.04-0-0-10
0.94,1,0,0,60,4,7.0710678118654755,100-7.0710678118654755-4-0.94-0-0-7
0.4,0,0,0,35,2,5.0,100-5.0-2-0.4-0-0-3
0.12,1,0,0,63,3,3.5355339059327378,100-3.5355339059327378-3-0.12-0-0-3
0.45,0,0,0,1,1,0.625,100-0.625-1-0.45-0-0-9
0.21,1,0,0,54,4,1.7677669529663689,100-1.7677669529663689-4-0.21-0-0-7
0.58,1,0,0,48,3,3.5355339059327378,100-3.5355339059327378-3-0.58-0-0-3
0.26,0,0,0,1,1,3.5355339059327378,100-3.5355339059327378-1-0.26-0-0-1
0.97,0,0,0,2,2,3.5355339059327378,100-3.5355339059327378-2-0.97-0-0-5
0.01,0,0,0,1,1,1.7677669529663689,100-1.7677669529663689-1-0.01-0-0-6
0.59,1,0,0,51,5,1.25,100-1.25-5-0.59-0-0-10
0.5,1,0,0,50,3,3.5355339059327378,100-3.5355339059327378-3-0.5-0-0-5
0.07,0,0,0,1,1,0.625,100-0.625-1-0.07-0-0-5
0.57,1,0,0,27,3,1.7677669529663689,100-1.7677669529663689-3-0.57-0-0-10
0.86,0,0,0,2,2,1.25,100-1.25-2-0.86-0-0-7
0.93,0,0,0,1,1,1.25,100-1.25-1-0.93-0-0-7
0.33,0,0,0,25,2,3.5355339059327378,100-3.5355339059327378-2-0.33-0-0-8
0.38,1,0,0,15,3,0.8838834764831844,100-0.8838834764831844-3-0.38-0-0-6
