instance,exact,approximate
70-1.0-3-0.34-0-0-82,13,15
70-2.2-3-0.0-0-0-13,34,35
70-1.0-3-0.14-0-0-62,15,16
70-4.0-3-0.13-0-0-30,43,45
70-3.4-3-0.21-0-0-20,38,39
70-2.2-3-0.0-0-0-40,34,36
70-3.4-3-0.21-0-0-70,39,42
70-2.5-3-0.31-0-0-50,33,36
70-2.2-3-0.05-0-0-20,33,36
70-1.3-3-0.03-0-0-61,22,24
70-3.1-3-0.15-0-0-30,39,41
70-4.0-3-0.12-0-0-51,44,47
70-1.6-3-0.3-0-0-100,24,25
70-1.3-3-0.45-0-0-30,15,17
70-1.0-3-0.33-0-0-53,12,13
70-1.6-3-0.03-0-0-70,26,27
70-4.0-3-0.42-0-0-131,40,44
70-2.2-3-0.4-0-0-70,28,30
70-2.5-3-0.21-0-0-11,31,33
70-2.8-3-0.1-0-0-100,36,38
70-1.6-3-0.03-0-0-10,28,30
70-1.3-3-0.33-0-0-81,17,18
70-2.2-3-0.04-0-0-10,33,35
70-1.0-3-0.14-0-0-91,16,16
70-1.6-3-0.01-0-0-21,25,26
70-1.0-3-0.14-0-0-72,16,16
70-3.1-3-0.01-0-0-41,43,44
70-4.0-3-0.14-0-0-30,44,47
70-4.0-3-0.43-0-0-40,40,41
70-2.5-3-0.33-0-0-30,33,37
70-1.0-3-0.2-0-0-11,14,14
70-1.6-3-0.42-0-0-10,21,22
70-1.0-3-0.42-0-0-80,12,13
70-1.0-3-0.5-0-0-62,10,11
70-3.1-3-0.43-0-0-20,34,38
70-1.3-3-0.32-0-0-82,16,18
70-1.3-3-0.05-0-0-21,20,20
70-1.0-3-0.42-0-0-33,12,13
70-1.6-3-0.01-0-0-90,28,31
70-1.0-3-0.28-0-0-30,14,14
70-4.0-3-0.41-0-0-111,40,42
70-3.1-3-0.12-0-0-41,39,41
70-1.6-3-0.2-0-0-70,24,26
70-1.0-3-0.37-0-0-80,11,13
70-1.0-3-0.48-0-0-20,10,12
70-2.5-3-0.12-0-0-20,33,34
70-4.0-3-0.13-0-0-110,44,46
70-2.2-3-0.4-0-0-1,28,30
70-1.3-3-0.5-0-0-50,13,13
70-2.5-3-0.32-0-0-10,32,35
70-3.1-3-0.13-0-0-1,38,40
